date,user_id,choice_id,emoji,question,editor
2022-04-19,fb6da81da7c9b66f4dfd266096bca702,1,🙂,emotion,Dhrumil
2022-04-19,d20f2adf778ed2135e67fbd628d89304,0,😐,emotion,Irena
2022-04-19,8afe1d67be9656212e94aaa6995c8e39,1,🙂,emotion,Irena
2022-04-19,f2dfc7b67a37987df95bd920a81a5cd3,1,🙂,emotion,Irena
2022-04-19,95ba860ed905cf268092ca1e90f91dd6,-2,😢,emotion,Irena
2022-04-19,a9864a7d130ce52cf17579545fc96643,0,😐,emotion,Dhrumil
2022-04-19,c21a2438c0e9308e03a92ebd90c5d27d,-2,😢,emotion,Dhrumil
2022-04-19,b049b7eae43713e6aca6320c57b3bb88,2,😍,emotion,Dhrumil
2022-04-19,4716f7a2eee28bddd0e115f021642950,2,😍,emotion,Dhrumil
2022-04-19,85e0b01e2551b858300dee580c9b0824,0,😐,emotion,Irena
2022-04-19,5119dd707d353a28b41fa1adcdda76be,0,😐,emotion,Dhrumil
2022-04-19,02ad64bf82ddd3aff9a2d535542075ac,1,🙂,emotion,Dhrumil
2022-04-19,89135d5c75496c9d94251f30c748b9b8,-1,🙁,emotion,Irena
2022-04-19,af89c92b83a70769aba5265b5a2c0965,1,🙂,emotion,Irena
2022-04-19,2ab5e1542adfb5cbd739a0e443d7408b,1,🙂,emotion,Irena
2022-04-19,8b728352298677976121c9bcf5f2a578,1,🙂,emotion,Irena
2022-04-19,c09694b5b867f8383b95640361c53ac7,0,😐,emotion,Irena
2022-04-19,5a7ac9a0ee30d1e7bedafd9046162fc7,1,🙂,emotion,Dhrumil
2022-04-19,3ce992bb73ea135b1c738ef290cb93d5,1,🙂,emotion,Dhrumil
2022-04-15,5119dd707d353a28b41fa1adcdda76be,0,😐,emotion,Dhrumil
2022-04-15,c21a2438c0e9308e03a92ebd90c5d27d,1,🙂,emotion,Dhrumil
2022-04-15,d20f2adf778ed2135e67fbd628d89304,0,😐,emotion,Irena
2022-04-15,f2dfc7b67a37987df95bd920a81a5cd3,1,🙂,emotion,Irena
2022-04-15,89135d5c75496c9d94251f30c748b9b8,0,😐,emotion,Irena
2022-04-15,af89c92b83a70769aba5265b5a2c0965,1,🙂,emotion,Irena
2022-04-15,aa516cd83ca47c4c0707d31047f6dc8a,1,🙂,emotion,Dhrumil
2022-04-15,fb6da81da7c9b66f4dfd266096bca702,2,😍,emotion,Dhrumil
2022-04-15,8afe1d67be9656212e94aaa6995c8e39,1,🙂,emotion,Irena
2022-04-15,02ad64bf82ddd3aff9a2d535542075ac,1,🙂,emotion,Dhrumil
2022-04-15,4716f7a2eee28bddd0e115f021642950,2,😍,emotion,Dhrumil
2022-04-15,8b728352298677976121c9bcf5f2a578,1,🙂,emotion,Irena
2022-04-15,5a7ac9a0ee30d1e7bedafd9046162fc7,1,🙂,emotion,Dhrumil
2022-04-15,3ce992bb73ea135b1c738ef290cb93d5,1,🙂,emotion,Dhrumil
2022-04-15,b049b7eae43713e6aca6320c57b3bb88,0,😐,emotion,Dhrumil
2022-04-15,c09694b5b867f8383b95640361c53ac7,1,🙂,emotion,Irena
2022-04-15,2ab5e1542adfb5cbd739a0e443d7408b,1,🙂,emotion,Irena
2022-04-15,85e0b01e2551b858300dee580c9b0824,0,😐,emotion,Irena
2022-04-15,95ba860ed905cf268092ca1e90f91dd6,0,😐,emotion,Irena
2022-04-15,a9864a7d130ce52cf17579545fc96643,0,😐,emotion,Dhrumil
2022-04-15,764f85855c5a57c62401a0834eda0fc9,1,🙂,emotion,Dhrumil
2022-04-12,5a7ac9a0ee30d1e7bedafd9046162fc7,1,🙂,emotion,Dhrumil
2022-04-12,a9864a7d130ce52cf17579545fc96643,0,😐,emotion,Dhrumil
2022-04-12,f2dfc7b67a37987df95bd920a81a5cd3,1,🙂,emotion,Irena
2022-04-12,2ab5e1542adfb5cbd739a0e443d7408b,1,🙂,emotion,Irena
2022-04-12,02ad64bf82ddd3aff9a2d535542075ac,-1,🙁,emotion,Dhrumil
2022-04-12,5119dd707d353a28b41fa1adcdda76be,1,🙂,emotion,Dhrumil
2022-04-12,aa516cd83ca47c4c0707d31047f6dc8a,1,🙂,emotion,Dhrumil
2022-04-12,b049b7eae43713e6aca6320c57b3bb88,1,🙂,emotion,Dhrumil
2022-04-12,c21a2438c0e9308e03a92ebd90c5d27d,0,😐,emotion,Dhrumil
2022-04-12,4716f7a2eee28bddd0e115f021642950,2,😍,emotion,Dhrumil
2022-04-12,95ba860ed905cf268092ca1e90f91dd6,-1,🙁,emotion,Irena
2022-04-12,c09694b5b867f8383b95640361c53ac7,2,😍,emotion,Irena
2022-04-12,fb6da81da7c9b66f4dfd266096bca702,1,🙂,emotion,Dhrumil
2022-04-12,85e0b01e2551b858300dee580c9b0824,-1,🙁,emotion,Irena
2022-04-12,8afe1d67be9656212e94aaa6995c8e39,1,🙂,emotion,Irena
2022-04-12,d20f2adf778ed2135e67fbd628d89304,0,😐,emotion,Irena
2022-04-12,89135d5c75496c9d94251f30c748b9b8,-1,🙁,emotion,Irena
2022-04-12,8b728352298677976121c9bcf5f2a578,1,🙂,emotion,Irena
2022-04-12,af89c92b83a70769aba5265b5a2c0965,1,🙂,emotion,Irena
2022-04-12,764f85855c5a57c62401a0834eda0fc9,1,🙂,emotion,Dhrumil
2022-04-12,3ce992bb73ea135b1c738ef290cb93d5,1,🙂,emotion,Dhrumil
2022-04-08,89135d5c75496c9d94251f30c748b9b8,0,😐,emotion,Irena
2022-04-08,95ba860ed905cf268092ca1e90f91dd6,1,🙂,emotion,Irena
2022-04-08,3ce992bb73ea135b1c738ef290cb93d5,1,🙂,emotion,Dhrumil
2022-04-08,8afe1d67be9656212e94aaa6995c8e39,0,😐,emotion,Irena
2022-04-08,af89c92b83a70769aba5265b5a2c0965,1,🙂,emotion,Irena
2022-04-08,f2dfc7b67a37987df95bd920a81a5cd3,1,🙂,emotion,Irena
2022-04-08,8b728352298677976121c9bcf5f2a578,1,🙂,emotion,Irena
2022-04-08,aa516cd83ca47c4c0707d31047f6dc8a,1,🙂,emotion,Dhrumil
2022-04-08,02ad64bf82ddd3aff9a2d535542075ac,1,🙂,emotion,Dhrumil
2022-04-08,4716f7a2eee28bddd0e115f021642950,2,😍,emotion,Dhrumil
2022-04-08,c21a2438c0e9308e03a92ebd90c5d27d,0,😐,emotion,Dhrumil
2022-04-08,85e0b01e2551b858300dee580c9b0824,0,😐,emotion,Irena
2022-04-08,d20f2adf778ed2135e67fbd628d89304,1,🙂,emotion,Irena
2022-04-08,c09694b5b867f8383b95640361c53ac7,2,😍,emotion,Irena
2022-04-08,fb6da81da7c9b66f4dfd266096bca702,2,😍,emotion,Dhrumil
2022-04-08,5119dd707d353a28b41fa1adcdda76be,1,🙂,emotion,Dhrumil
2022-04-08,2ab5e1542adfb5cbd739a0e443d7408b,1,🙂,emotion,Irena
2022-04-08,b049b7eae43713e6aca6320c57b3bb88,2,😍,emotion,Dhrumil
2022-04-08,764f85855c5a57c62401a0834eda0fc9,1,🙂,emotion,Dhrumil
2022-04-08,5a7ac9a0ee30d1e7bedafd9046162fc7,0,😐,emotion,Dhrumil
2022-04-05,f2dfc7b67a37987df95bd920a81a5cd3,1,🙂,emotion,Irena
2022-04-05,3ce992bb73ea135b1c738ef290cb93d5,1,🙂,emotion,Dhrumil
2022-04-05,a9864a7d130ce52cf17579545fc96643,1,🙂,emotion,Dhrumil
2022-04-05,8b728352298677976121c9bcf5f2a578,1,🙂,emotion,Irena
2022-04-05,c21a2438c0e9308e03a92ebd90c5d27d,0,😐,emotion,Dhrumil
2022-04-05,85e0b01e2551b858300dee580c9b0824,0,😐,emotion,Irena
2022-04-05,c09694b5b867f8383b95640361c53ac7,1,🙂,emotion,Irena
2022-04-05,8afe1d67be9656212e94aaa6995c8e39,0,😐,emotion,Irena
2022-04-05,95ba860ed905cf268092ca1e90f91dd6,1,🙂,emotion,Irena
2022-04-05,5a7ac9a0ee30d1e7bedafd9046162fc7,1,🙂,emotion,Dhrumil
2022-04-05,b049b7eae43713e6aca6320c57b3bb88,2,😍,emotion,Dhrumil
2022-04-05,4716f7a2eee28bddd0e115f021642950,2,😍,emotion,Dhrumil
2022-04-05,02ad64bf82ddd3aff9a2d535542075ac,1,🙂,emotion,Dhrumil
2022-04-05,aa516cd83ca47c4c0707d31047f6dc8a,0,😐,emotion,Dhrumil
2022-04-05,fb6da81da7c9b66f4dfd266096bca702,2,😍,emotion,Dhrumil
2022-04-05,af89c92b83a70769aba5265b5a2c0965,2,😍,emotion,Irena
2022-04-05,5119dd707d353a28b41fa1adcdda76be,1,🙂,emotion,Dhrumil
2022-04-05,2ab5e1542adfb5cbd739a0e443d7408b,1,🙂,emotion,Irena
2022-04-05,d20f2adf778ed2135e67fbd628d89304,0,😐,emotion,Irena
2022-04-05,89135d5c75496c9d94251f30c748b9b8,0,😐,emotion,Irena
2022-04-01,f2dfc7b67a37987df95bd920a81a5cd3,1,🙂,emotion,Irena
2022-04-01,fb6da81da7c9b66f4dfd266096bca702,0,😐,emotion,Dhrumil
2022-04-01,2ab5e1542adfb5cbd739a0e443d7408b,0,😐,emotion,Irena
2022-04-01,d20f2adf778ed2135e67fbd628d89304,0,😐,emotion,Irena
2022-04-01,5a7ac9a0ee30d1e7bedafd9046162fc7,1,🙂,emotion,Dhrumil
2022-04-01,c21a2438c0e9308e03a92ebd90c5d27d,0,😐,emotion,Dhrumil
2022-04-01,af89c92b83a70769aba5265b5a2c0965,1,🙂,emotion,Irena
2022-04-01,95ba860ed905cf268092ca1e90f91dd6,0,😐,emotion,Irena
2022-04-01,89135d5c75496c9d94251f30c748b9b8,0,😐,emotion,Irena
2022-04-01,c09694b5b867f8383b95640361c53ac7,1,🙂,emotion,Irena
2022-04-01,764f85855c5a57c62401a0834eda0fc9,1,🙂,emotion,Dhrumil
2022-04-01,4716f7a2eee28bddd0e115f021642950,2,😍,emotion,Dhrumil
2022-04-01,5119dd707d353a28b41fa1adcdda76be,2,😍,emotion,Dhrumil
2022-04-01,85e0b01e2551b858300dee580c9b0824,0,😐,emotion,Irena
2022-04-01,aa516cd83ca47c4c0707d31047f6dc8a,1,🙂,emotion,Dhrumil
2022-04-01,3ce992bb73ea135b1c738ef290cb93d5,1,🙂,emotion,Dhrumil
2022-04-01,02ad64bf82ddd3aff9a2d535542075ac,0,😐,emotion,Dhrumil
2022-04-01,8b728352298677976121c9bcf5f2a578,1,🙂,emotion,Irena
2022-04-01,a9864a7d130ce52cf17579545fc96643,1,🙂,emotion,Dhrumil
2022-03-29,02ad64bf82ddd3aff9a2d535542075ac,1,🙂,emotion,Dhrumil
2022-03-29,fb6da81da7c9b66f4dfd266096bca702,0,😐,emotion,Dhrumil
2022-03-29,8b728352298677976121c9bcf5f2a578,1,🙂,emotion,Irena
2022-03-29,a9864a7d130ce52cf17579545fc96643,0,😐,emotion,Dhrumil
